number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude,timestamp
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,FALSE,FALSE,40,36,2,OPEN,1.74203E+12,53.341515,-6.256853,3/15/2025 9:43
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,FALSE,FALSE,30,0,30,OPEN,1.74203E+12,53.344603,-6.263371,3/15/2025 9:43
1,dublin,CLARENDON ROW,Clarendon Row,FALSE,FALSE,31,16,15,OPEN,1.74203E+12,53.340927,-6.262501,3/15/2025 9:43
23,dublin,CUSTOM HOUSE,Custom House,FALSE,FALSE,30,1,28,OPEN,1.74203E+12,53.348279,-6.254662,3/15/2025 9:43
106,dublin,RATHDOWN ROAD,Rathdown Road,FALSE,FALSE,40,24,16,OPEN,1.74203E+12,53.35893,-6.280337,3/15/2025 9:43
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),FALSE,FALSE,30,6,24,OPEN,1.74203E+12,53.357841,-6.251557,3/15/2025 9:43
68,dublin,HANOVER QUAY,Hanover Quay,FALSE,FALSE,40,33,7,OPEN,1.74203E+12,53.344115,-6.237153,3/15/2025 9:43
74,dublin,OLIVER BOND STREET,Oliver Bond Street,FALSE,FALSE,30,11,19,OPEN,1.74203E+12,53.343893,-6.280531,3/15/2025 9:43
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,FALSE,FALSE,38,1,37,OPEN,1.74203E+12,53.347477,-6.28525,3/15/2025 9:43
84,dublin,BROOKFIELD ROAD,Brookfield Road,FALSE,FALSE,30,8,22,OPEN,1.74203E+12,53.339005,-6.300217,3/15/2025 9:43
90,dublin,BENSON STREET,Benson Street,FALSE,FALSE,40,37,3,OPEN,1.74203E+12,53.344153,-6.233451,3/15/2025 9:43
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,FALSE,FALSE,30,28,2,OPEN,1.74203E+12,53.334295,-6.258503,3/15/2025 9:43
17,dublin,GOLDEN LANE,Golden Lane,FALSE,FALSE,20,14,6,OPEN,1.74203E+12,53.340803,-6.267732,3/15/2025 9:43
45,dublin,DEVERELL PLACE,Deverell Place,FALSE,FALSE,30,29,1,OPEN,1.74203E+12,53.351464,-6.255265,3/15/2025 9:43
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),FALSE,FALSE,40,39,1,OPEN,1.74203E+12,53.333653,-6.248345,3/15/2025 9:43
72,dublin,JOHN STREET WEST,John Street West,FALSE,FALSE,31,24,7,OPEN,1.74203E+12,53.343105,-6.277167,3/15/2025 9:43
63,dublin,FENIAN STREET,Fenian Street,FALSE,FALSE,35,33,2,OPEN,1.74203E+12,53.341428,-6.24672,3/15/2025 9:43
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,FALSE,FALSE,40,29,0,OPEN,1.74203E+12,53.338614,-6.248606,3/15/2025 9:43
91,dublin,SOUTH DOCK ROAD,South Dock Road,FALSE,FALSE,30,13,17,OPEN,1.74203E+12,53.341833,-6.231291,3/15/2025 9:43
99,dublin,CITY QUAY,City Quay,FALSE,FALSE,30,18,12,OPEN,1.74203E+12,53.346637,-6.246154,3/15/2025 9:43
9,dublin,EXCHEQUER STREET,Exchequer Street,FALSE,FALSE,24,14,10,OPEN,1.74203E+12,53.343034,-6.263578,3/15/2025 9:43
67,dublin,THE POINT,The Point,FALSE,FALSE,40,32,8,OPEN,1.74203E+12,53.346867,-6.230852,3/15/2025 9:43
116,dublin,BROADSTONE,Broadstone,FALSE,FALSE,30,20,10,OPEN,1.74203E+12,53.3547,-6.272314,3/15/2025 9:43
55,dublin,HATCH STREET,Hatch Street,FALSE,FALSE,36,35,1,OPEN,1.74203E+12,53.33403,-6.260714,3/15/2025 9:43
62,dublin,LIME STREET,Lime Street,FALSE,FALSE,40,39,1,OPEN,1.74203E+12,53.346026,-6.243576,3/15/2025 9:43
5,dublin,CHARLEMONT PLACE,Charlemont Street,FALSE,FALSE,40,34,6,OPEN,1.74203E+12,53.330662,-6.260177,3/15/2025 9:43
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,FALSE,FALSE,40,14,26,OPEN,1.74203E+12,53.342113,-6.310015,3/15/2025 9:43
61,dublin,HARDWICKE PLACE,Hardwicke Place,FALSE,FALSE,25,25,0,OPEN,1.74203E+12,53.357043,-6.263232,3/15/2025 9:43
